time,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.0,-0.668915196237,-0.772409713671,1.4258609731,1.46143685768,0.499897347083,-0.00878741036256,-1.27374996304
0.5,-0.637638721675,-0.777402532172,1.41993955224,1.45766739627,0.513980107014,-0.0301532980376,-1.28167992516
1.0,-0.592384358395,-0.795737511667,1.40436767047,1.44553031277,0.534708827038,-0.0483373364541,-1.28760105957
1.5,-0.510870057095,-0.822468973887,1.38923108788,1.42964552789,0.558888182349,-0.00872855352972,-1.29504608943
2.0,-0.375277800894,-0.828787270179,1.38656388791,1.44821657949,0.582839338789,-0.0864348311992,-1.3193739204
2.5,-0.286519411013,-0.821157944392,1.43426957085,1.54804180287,0.60527629275,-0.328967763572,-1.34742382641
3.0,-0.226995624474,-0.818025432945,1.46680602235,1.66371891917,0.623795308677,-0.546457410734,-1.37065044932
3.5,-0.109331757562,-0.815701750524,1.45235068543,1.6928415937,0.637796924463,-0.664152022866,-1.38991656426
4.0,0.00602101174444,-0.81120038966,1.44083123638,1.657419373,0.651355920225,-0.676237407903,-1.40484369135
4.5,0.0894979213506,-0.808420607672,1.42890952933,1.62166755734,0.663278610098,-0.673763096912,-1.41927901028
5.0,0.176239817514,-0.807308905313,1.4207906223,1.63595418137,0.672277308866,-0.798407756722,-1.43093355975
5.5,0.260546940074,-0.829150731151,1.41519234198,1.6610061568,0.681110407335,-0.902105384752,-1.40454162846
6.0,0.34644158835,-0.922810389253,1.38633980272,1.65053030439,0.80505230439,-0.911468772922,-1.35686950496
6.5,0.450866848683,-1.04432904331,1.31855258605,1.59349418038,0.957233490842,-0.915589478942,-1.32052566408
7.0,0.571416012071,-1.11156626501,1.24261337853,1.52444805819,1.06310727334,-0.951801811032,-1.32567676948
7.5,0.647519363983,-1.11882125673,1.1948653241,1.51076634593,1.10153886354,-1.0225139573,-1.35212701251
8.0,0.641475869279,-1.10080862915,1.18932471735,1.52557870321,1.06663005641,-1.0363176936,-1.36053420989
8.5,0.615409036922,-1.08506045149,1.20333571461,1.53195770335,1.0494010252,-1.01595692807,-1.36458049496
