time,right_s0,right_s1,right_w0,right_w1,right_w2,right_e0,right_e1
0.0,-0.664694206735,-0.893921586075,-0.858976096177,0.191899611614,2.55670595137,1.66465882442,1.55848547266
0.5,-2.32155263958,-1.20820798832,-2.51564974035,2.16424838207,3.02537392624,3.63850293252,1.46428415486
1.0,-4.20350707123,-1.56437483078,-4.38343893493,4.39813399363,3.5636196694,5.88075419975,1.36265350826
1.5,-5.89365875327,-1.88346700605,-6.04419459638,6.39707931423,4.05384890468,7.89481312518,1.27812694335
2.0,-7.20038488165,-2.12961663248,-7.31014189323,7.93534083125,4.43994667967,9.45239748138,1.22055351954
2.5,-8.06741249105,-2.2927023344,-8.1307589051,8.94917884763,4.70330438792,10.4864446313,1.1912898208
3.0,-8.51477713841,-2.37700481003,-8.53189900122,9.46561898378,4.846943777,11.0207916795,1.18719720093
3.5,-8.60096564481,-2.39396524348,-8.57697805533,9.5568991794,4.88522311055,11.1250833978,1.20314632358
4.0,-8.39942004701,-2.35771685009,-8.34307707061,9.31230459546,4.83735142807,10.8867840299,1.23352035485
4.5,-7.98463686794,-2.28246240423,-7.90697395478,8.82159911126,4.7234674171,10.3946179517,1.2730581698
5.0,-7.424559302,-2.18105673682,-7.3376555775,8.16604435766,4.56241773374,9.72950650299,1.31727261232
5.5,-6.77699564897,-2.06435548724,-6.69294802433,7.414257826,4.37063795089,8.96030140993,1.36260390635
6.0,-6.0885258378,-1.94103351973,-6.0186664558,6.62104768846,4.16172847484,8.14248256284,1.40641582643
6.5,-5.39486664153,-1.81767552406,-5.34921853493,5.82798033171,3.94645015908,7.3185936741,1.44690573222
7.0,-4.72201858686,-1.69900982795,-4.70896383929,5.0648645657,3.73295625783,6.51960898979,1.48297438664
7.5,-4.08775943709,-1.58820331397,-4.11388426273,4.35162989566,3.52714064416,5.76671234531,1.51408425774
8.0,-3.50321351371,-1.48716701164,-3.57329182621,3.70027538369,3.33302545647,5.07316576779,1.54012335504
8.5,-2.97433670666,-1.39684305761,-3.09141535554,3.11669931449,3.15314072152,4.44607672642,1.56128387331
9.0,-2.50323064117,-1.31745758698,-2.66878372066,2.602308602,2.98886843642,3.88796102896,1.5779598201
9.5,-2.08924790737,-1.24873306881,-2.30337305993,2.15536498377,2.84073714108,3.39805626038,1.59066455588
10.0,-1.72988161025,-1.19005924754,-1.9915170873,1.77206240946,2.70866223523,2.97337815477,1.59996720666
10.5,-1.42145217448,-1.14062529684,-1.72859890464,1.44735325927,2.59213351318,2.60953580213,1.60644581769
11.0,-1.15961588486,-1.0995177592,-1.50955350993,1.17555447358,2.49035541574,2.3013353243,1.61065462843
11.5,-0.939725364611,-1.06578980116,-1.32921493368,0.950771175881,2.40234782307,2.04320836061,1.61310276136
12.0,-0.757073650454,-1.03850756333,-1.18254239979,0.767176841914,2.32701615758,1.82950326644,1.61424178404
12.5,-0.607051876411,-1.01677913149,-1.0647573929,0.619186916521,2.26319940103,1.65467476409,1.61445991551
13.0,-0.485246802579,-0.999771055786,-0.971419080291,0.501558165612,2.2097036255,1.51340309572,1.61408102067
13.5,-0.387499404982,-0.986716530717,-0.898460090472,0.409440006601,2.16532709066,1.40066759901,1.61336691317
14.0,-0.309940279473,-0.976918437065,-0.842198967455,0.338397510572,2.12888117114,1.31179303391,1.61252182946
14.5,-0.249012385302,-0.969749543432,-0.799340321765,0.284419492822,2.09920962455,1.24248074783,1.61169822494
15.0,-0.201487168854,-0.964651351502,-0.766969222713,0.243919686507,2.07520720931,1.18883147426,1.6110032715
15.5,-0.164476667301,-0.961132403827,-0.742542960845,0.213734777208,2.05583754808,1.14736255812,1.61050560756
16.0,-0.135441893425,-0.958766382758,-0.72388100694,0.191120183084,2.04014945541,1.11501978475,1.6102420179
16.5,-0.112196571441,-0.957190014989,-0.709152706564,0.173742818209,2.0272906815,1.08918264812,1.61022381106
17.0,-0.0929049333637,-0.956100636862,-0.696861779076,0.159669459419,2.01651808718,1.06766157508,1.61044272878
17.5,-0.0760725395607,-0.955253236737,-0.685826793725,0.147349461545,2.00720355218,1.04868601003,1.61087627344
18.0,-0.0605296916686,-0.954456832868,-0.675157230847,0.135591133415,1.99883531819,1.0308830379,1.61149238099
18.5,-0.0454077310544,-0.953570130455,-0.664225295665,0.123531833653,1.99101488497,1.01324710949,1.61225340279
