time,right_s0,right_s1,right_w0,right_w1,right_w2,right_e0,right_e1
0.0,-14.5837541564,-3.33850132027,-15.3828150701,16.9834222412,6.38713808355,18.336010382,0.3767458681
0.5,-50.2115879115,-9.61861813358,-52.505453274,59.9527424402,16.1961228443,60.9999174541,-2.60876103373
1.0,-87.72745438,-16.2314819541,-91.6210839094,105.227877096,26.5120107947,105.928560265,-5.76058257761
1.5,-117.450685799,-21.4707737327,-122.648599857,141.139876881,34.6665616811,141.530319455,-8.26920972818
2.0,-135.50992071,-24.6542590151,-141.551488483,163.016798688,39.5951176857,163.168893591,-9.80922248828
2.5,-141.415198131,-25.6957504527,-147.812512767,170.260403925,41.1659870036,170.256569998,-10.337296765
3.0,-136.487425274,-24.828233535,-142.7999796,164.454974886,39.7467283359,164.373930795,-9.96147477262
3.5,-122.870509507,-22.4297196225,-128.739961837,148.177590238,35.9314142933,148.087121549,-8.85887946605
4.0,-102.934142339,-18.9179716959,-108.094818419,124.278732329,30.3758103683,124.232810956,-7.22592008311
4.5,-78.9340669251,-14.6906236031,-83.2095366233,95.4729233036,23.7036706687,95.5114151019,-5.24992243798
5.0,-52.8383233019,-10.0945595067,-56.1307384574,64.1292334842,16.4588666829,64.2790368115,-3.09457789199
5.5,-26.2572953228,-5.41359157356,-28.5336893527,32.1868088502,9.08617129464,32.4636832064,-0.894041292657
6.0,-0.435894217616,-0.867090321867,-1.71397469897,1.14525365128,1.92918853247,1.55587968777,1.2477877141
6.5,23.7195542382,3.38526867347,23.3846908816,-27.9031637467,-4.76214767456,-27.3591630919,3.25508288902
7.0,45.5973681824,7.23575305465,46.1248823453,-54.2207357678,-10.8193791522,-53.5489597139,5.0764787589
7.5,64.8305128372,10.6197558172,66.1235558723,-77.3642191703,-16.141669693,-76.5739068327,6.68094381557
8.0,81.2470902506,13.5070643835,83.2006222474,-97.1252986622,-20.6820967277,-96.2280190345,8.05368548235
8.5,94.8249229776,15.8938523576,97.331758456,-113.475958588,-24.4350828982,-112.484563141,9.1923885603
9.0,105.651952183,17.7956970733,108.607250975,-126.520838377,-27.4254409717,-125.448651314,10.1039317312
9.5,113.892996391,19.2417190575,117.197442359,-136.457233061,-29.6991814129,-135.317447395,10.8016288128
10.0,119.762720855,20.2698168118,123.324628001,-143.542561313,-31.3160398531,-142.347807301,11.3029833422
10.5,123.504286209,20.9229031172,127.240852861,-148.068663824,-32.343576597,-146.830717685,11.627913158
11.0,125.372966408,21.2460175968,129.210871636,-150.342079232,-32.8526511618,-149.071683142,11.7973866171
11.5,125.623973458,21.2841810332,129.499480858,-150.669381194,-32.9140605244,-149.376149296,11.8324075716
12.0,124.503748738,21.0808608884,128.362454254,-149.346686686,-32.5961360599,-148.039075782,11.7532879608
12.5,122.244043916,20.6769286327,126.040378156,-146.652521403,-31.9631117481,-145.337848751,11.5791520288
13.0,119.058196746,20.1100040032,122.75476909,-142.84332696,-31.074099047,-141.527820986,11.3276229384
13.5,115.139094733,19.4140967885,118.705946719,-138.151000003,-29.9825281515,-136.839872723,11.0146497823
14.0,110.65840472,18.6194717345,114.072223626,-132.781955583,-28.7359389113,-131.479488045,10.6544400131
14.5,105.766724388,17.7526759205,109.010054392,-126.917300883,-27.3760262711,-125.626935066,10.25946876
15.0,100.594380452,16.8366800778,103.654857865,-120.713788108,-25.938864129,-119.438220409,9.84054218705
15.5,95.2526573011,15.8910957285,98.1222878004,-114.305286276,-24.4552478371,-113.046559111,9.40689693258
16.0,89.8352893237,14.9324387464,92.5097784573,-107.80457118,-22.9511092532,-106.564160311,8.96632176667
16.5,84.420090878,13.9744171217,86.8982340672,-101.305281782,-21.4479695223,-100.08417782,8.5252909807
