time,right_s0,right_s1,right_w0,right_w1,right_w2,right_e0,right_e1
0.0,0.7052854457,-0.313823027199,-0.829740895326,-0.925940092383,-2.57064856157,-0.526057902014,1.29561931062
0.5,0.682851897582,-0.340984040406,-0.860420963102,-0.955201017267,-2.56408382323,-0.528652940269,1.30106605716
1.0,0.667003219899,-0.37353195076,-0.884076551368,-0.986516069507,-2.56631591367,-0.532665623649,1.31017932819
1.5,0.667810811332,-0.403333270103,-0.887403739437,-1.01009706974,-2.58247156499,-0.537612790143,1.3223522082
2.0,0.688690156289,-0.425523360447,-0.865608206075,-1.02117636119,-2.61325530052,-0.543070130961,1.33681757443
2.5,0.728226700936,-0.438085890599,-0.820276332564,-1.01897188616,-2.65632544832,-0.548748111708,1.35281589357
3.0,0.782038007146,-0.441192989764,-0.757078351687,-1.00542335439,-2.70761597575,-0.554513383362,1.36968956035
3.5,0.844434804616,-0.436455342021,-0.683608267003,-0.983922034805,-2.76246865725,-0.560367298106,1.38691129534
4.0,0.909738386795,-0.426197584563,-0.607560813022,-0.958195782265,-2.81650418026,-0.566395081673,1.40406089797
4.5,0.973192671088,-0.412838646384,-0.535358842359,-0.931453043329,-2.8662111958,-0.57269957764,1.42076891679
5.0,1.03147028194,-0.398424866994,-0.471282548404,-0.905840813338,-2.90926613138,-0.579333013076,1.43664814895
5.5,1.08281312265,-0.384338589916,-0.417112373176,-0.882232442057,-2.94461507991,-0.586239401989,1.4512345325
6.0,1.12687357035,-0.371185957959,-0.372268471017,-0.860327710467,-2.97235715264,-0.593218951224,1.46395745681
6.5,1.16433937024,-0.358851809966,-0.334393957618,-0.839013630153,-2.99347341478,-0.599923516699,1.47415461093
7.0,1.19643880747,-0.346693171082,-0.300273385873,-0.816896768092,-3.00945329733,-0.605887822283,1.4811370831
7.5,1.22443281619,-0.33382441016,-0.266904706697,-0.792881675846,-3.02188299726,-0.610594295495,1.48429682777
8.0,1.24920072431,-0.319430121089,-0.232478969917,-0.766650070395,-3.0320723381,-0.613560865958,1.48323386194
8.5,1.27100679486,-0.303034051104,-0.197009492177,-0.738909862062,-3.04079674011,-0.614433483335,1.47787013657
9.0,1.28949119628,-0.284661797317,-0.162423523002,-0.711340215039,-3.04820961677,-0.613061754575,1.4685163881
9.5,1.30386901333,-0.264863121054,-0.13207918486,-0.686246529954,-3.05393770508,-0.609539116715,1.45586927397
10.0,1.31326312061,-0.244598931155,-0.109848755902,-0.666027181383,-3.05732027662,-0.60419781177,1.44093525199
10.5,1.3170622763,-0.225034471533,-0.0990450250852,-0.6526081404,-3.05771259435,-0.59756052412,1.42489774241
11.0,1.31519709269,-0.207301223876,-0.101505883724,-0.647002454016,-3.05476048509,-0.59026087516,1.40895793905
11.5,1.30826135833,-0.192289838475,-0.117082713206,-0.649102120723,-3.04857066896,-0.582951003558,1.39418336616
12.0,1.29745944606,-0.180518147456,-0.143635301696,-0.657732749837,-3.0397414466,-0.576215102917,1.38139235002
12.5,1.28441196916,-0.172091116363,-0.177479743773,-0.670926398777,-3.02926360768,-0.570503817869,1.37109053958
