time,right_s0,right_s1,right_w0,right_w1,right_w2,right_e0,right_e1
0.0,1.09987168737,-0.951919933242,-0.391555808594,-0.732450152149,-2.78655797734,-0.684329813732,1.60659230106
0.5,1.12084985248,-0.964458818247,-0.370997482659,-0.690245016431,-2.78456797723,-0.686253825898,1.61232928178
1.0,1.15584246252,-0.978793373756,-0.328340459059,-0.634217368057,-2.7853480815,-0.688871341459,1.62227626688
1.5,1.18993233896,-0.971982954516,-0.28098321492,-0.617836788711,-2.81451607388,-0.702624671279,1.63011378525
2.0,1.21210430768,-0.975529319534,-0.272923892002,-0.592485913841,-2.82470275534,-0.706917968556,1.64071026704
2.5,1.18614755356,-0.989638451159,-0.316698602155,-0.592225164524,-2.75448796983,-0.669197582563,1.65514958217
3.0,1.16209309665,-0.992599917296,-0.322642517979,-0.610216931275,-2.68668299008,-0.634170580844,1.67683064935
3.5,1.1614089022,-0.976185177986,-0.307479809806,-0.645793446067,-2.68754484326,-0.634507962923,1.70051003594
4.0,1.17062222151,-0.940940386752,-0.293102769951,-0.711970411046,-2.74256647953,-0.659331775511,1.72378503989
4.5,1.17292143024,-0.907621375336,-0.285634019405,-0.774776156412,-2.78722521513,-0.677713667972,1.74426645628
5.0,1.16492542528,-0.903887646499,-0.284695060395,-0.786054460402,-2.76926108576,-0.670608457306,1.76344484601
5.5,1.16028338972,-0.912358386784,-0.303862796194,-0.779479921269,-2.75391037046,-0.668068300014,1.78417851876
6.0,1.15703906103,-0.923713449186,-0.340544183543,-0.774766192647,-2.75167158521,-0.672352941091,1.80672950756
6.5,1.13910486743,-0.94677105249,-0.398073193104,-0.763651697653,-2.71053391464,-0.659535326057,1.82885780139
7.0,1.13916135186,-0.960209464588,-0.414839150129,-0.746779840559,-2.69489639465,-0.655218089004,1.84671276588
7.5,1.14307469716,-0.963956859255,-0.413796628319,-0.737250518357,-2.69366857149,-0.65468041728,1.85275329277
8.0,1.17809549665,-0.959729723747,-0.338124552959,-0.695450135329,-2.71079865678,-0.660693274251,1.85480146137
8.5,1.23470727719,-0.940110120938,-0.216068917822,-0.642211531762,-2.74898464828,-0.675583185964,1.85456996536
9.0,1.23302116119,-0.926928767127,-0.210740101308,-0.641567086031,-2.75011408844,-0.671080266093,1.84869681904
9.5,1.19254383036,-0.917929389097,-0.259007815925,-0.693647250684,-2.71412369763,-0.642158322771,1.86314364276
10.0,1.16220020362,-0.903605974853,-0.293718507061,-0.748478959146,-2.69149784374,-0.623959756558,1.88226282202
10.5,1.15548554929,-0.908567386582,-0.313457637886,-0.727733745709,-2.67230498124,-0.614126242871,1.89298174252
11.0,1.15392780829,-0.901152676581,-0.311592372553,-0.727700994376,-2.66254520637,-0.604961926256,1.90602035382
11.5,1.1675753526,-0.883326370665,-0.280233295378,-0.72990642245,-2.67066350941,-0.602069132008,1.91553968264
12.0,1.19978712662,-0.858514465116,-0.237563733612,-0.719186575114,-2.70615996147,-0.61078980528,1.91454254728
12.5,1.22084069735,-0.828200542277,-0.225208006708,-0.718889788185,-2.73715474481,-0.612525818749,1.90089914642
13.0,1.24069577822,-0.78827564482,-0.201417701135,-0.730671111649,-2.76293676158,-0.607599502605,1.87675747255
13.5,1.25159909156,-0.753815662723,-0.206651810816,-0.736738323277,-2.78143434087,-0.59732029933,1.8412832441
14.0,1.23345440418,-0.733916438389,-0.263599291976,-0.74423688299,-2.76355880652,-0.56760131078,1.80007426573
14.5,1.23121306326,-0.706426305246,-0.28380331697,-0.759626078741,-2.76358913563,-0.549150302669,1.76019075894
15.0,1.23815127898,-0.683337482083,-0.29390590208,-0.769918316086,-2.77716925161,-0.541421788397,1.72674494973
15.5,1.2637955464,-0.671532992547,-0.272033530698,-0.748752617164,-2.80246549095,-0.545487291478,1.70069484202
16.0,1.27497201431,-0.665262560312,-0.276478572244,-0.739198067922,-2.81754099717,-0.548119747572,1.6803849308
16.5,1.27920576109,-0.659188470377,-0.312511271904,-0.742376492813,-2.84454307701,-0.561224414525,1.66187560015
17.0,1.31638283414,-0.64728388416,-0.379065872854,-0.728577330966,-2.95616829751,-0.628666191562,1.63973626493
17.5,1.35650740591,-0.650753338878,-0.527897846655,-0.678261953715,-3.06977302626,-0.714276279932,1.60870485553
18.0,1.46839024617,-0.566166675049,-0.570170358531,-0.679647393311,-3.11402429528,-0.895177742024,1.58750619864
18.5,1.62814811485,-0.378408531829,-0.47257771092,-0.758160725983,-3.11014563128,-1.15786007099,1.58831763786
19.0,1.70450674226,-0.238359056842,-0.432484506832,-0.827542655749,-3.10038177598,-1.32472104332,1.59145376175
19.5,1.75380050762,-0.14248670411,-0.421881539604,-0.880341579115,-3.0824323858,-1.44382425111,1.59140082733
20.0,1.77909350052,-0.0867647836402,-0.434799064299,-0.917013968027,-3.0592728744,-1.51855428481,1.5888781824
20.5,1.78425095425,-0.065576603584,-0.465145739605,-0.938917808186,-3.0335308756,-1.55429406882,1.58459718793
21.0,1.77351793524,-0.0724238980877,-0.507116033264,-0.948024597276,-3.00740107446,-1.55763883303,1.57921863685
21.5,1.75116938634,-0.100530390194,-0.555487845222,-0.946658086182,-2.9826062271,-1.53571185011,1.57332293862
22.0,1.72123723898,-0.143326529282,-0.605816575591,-0.937270012832,-2.9603963779,-1.49560162777,1.56739204648
22.5,1.68731421608,-0.194811999455,-0.654536913116,-0.922258459661,-2.94157770464,-1.4439282317,1.56180160362
23.0,1.65242925207,-0.249800982027,-0.698986826535,-0.903830538374,-2.92656250958,-1.38653663425,1.55682149118
23.5,1.61898613753,-0.30406133887,-0.737369821632,-0.88390795836,-2.91543246997,-1.3283075409,1.55262284774
24.0,1.58875494858,-0.354362975542,-0.768671749551,-0.864071688023,-2.90800821478,-1.27307097916,1.54928966202
24.5,1.56290488665,-0.398452860842,-0.792547609381,-0.845540337088,-2.90391946463,-1.22360484949,1.54683318395
